"Sample Name","COSMIC identifier","Whole Exome Sequencing (WES)","Copy Number Alterations (CNA)","Gene Expression","Methylation","Drug
Response","GDSC
Tissue descriptor 1","GDSC
Tissue
descriptor 2","Cancer Type
(matching TCGA label)","Microsatellite 
instability Status (MSI)","Screen Medium","Growth Properties"
"A549",905949,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"BALL-1",910705,"Y","Y","Y","Y","Y","leukemia","B_cell_leukemia","","MSS/MSI-L","R","Suspension"
"BICR78",1240122,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"C3A",910850,"Y","Y","Y","Y","Y","digestive_system","liver","LIHC","MSS/MSI-L","D/F12","Adherent"
"CHL-1",910853,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"CAL-39",924107,"Y","Y","Y","Y","Y","urogenital_system","cervix","CESC","MSS/MSI-L","D/F12","Adherent"
"COLO-824",906812,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Adherent"
"CTV-1",753548,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSI-H","R","Suspension"
"DG-75",906838,"Y","Y","Y","Y","Y","lymphoma","Burkitt_lymphoma","","MSI-H","R","Suspension"
"EFM-19",906851,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Adherent"
"EW-11",684062,"Y","Y","Y","Y","Y","bone","ewings_sarcoma","","MSS/MSI-L","R","Adherent"
"A172",687563,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"A673",684052,"Y","Y","Y","Y","Y","soft_tissue","rhabdomyosarcoma","","MSS/MSI-L","D/F12","Adherent"
"BC-1",910919,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"CHP-134",910941,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","R","Suspension"
"CAL-72",906827,"Y","Y","Y","Y","Y","bone","osteosarcoma","","MSS/MSI-L","D/F12","Adherent"
"ChaGo-K-1",687596,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_not specified","UNABLE TO CLASSIFY","MSS/MSI-L","R","Adherent"
"DJM-1",906841,"Y","Y","Y","Y","Y","skin","skin_other","","MSS/MSI-L","D/F12","Adherent"
"EFO-27",906852,"Y","Y","Y","Y","Y","urogenital_system","ovary","","MSI-H","R","Adherent"
"EW-1",949163,"Y","Y","Y","Y","Y","bone","ewings_sarcoma","","MSS/MSI-L","R","Semi-Adherent"
"MEL-JUSO",908125,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"SF539",905984,"Y","Y","Y","Y","Y","nervous_system","glioma","LGG","MSS/MSI-L","R","Adherent"
"SUP-T1",909743,"Y","Y","Y","Y","Y","leukemia","lymphoblastic_T_cell_leukaemia","ALL","MSS/MSI-L","R","Suspension"
"KP-4",753572,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","D/F12","Adherent"
"KM-H2",909976,"Y","Y","Y","Y","Y","lymphoma","Hodgkin_lymphoma","","MSS/MSI-L","R","Suspension"
"SK-LMS-1",909720,"Y","Y","Y","Y","Y","soft_tissue","soft_tissue_other","","MSS/MSI-L","D/F12","Adherent"
"H-EMC-SS",907290,"Y","Y","Y","Y","Y","bone","chondrosarcoma","","MSS/MSI-L","D/F12","Adherent"
"HD-MY-Z",907050,"Y","Y","Y","Y","Y","lymphoma","Hodgkin_lymphoma","","MSS/MSI-L","R","Adherent"
"SW684",909754,"Y","Y","Y","Y","Y","soft_tissue","fibrosarcoma","","MSS/MSI-L","D/F12","Adherent"
"HOP-92",905973,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_large cell","","MSS/MSI-L","D/F12","Adherent"
"JEG-3",907176,"Y","Y","Y","Y","Y","urogenital_system","urogenital_system_other","","MSS/MSI-L","D/F12","Adherent"
"JHH-2",1240157,"Y","N","Y","Y","Y","digestive_system","liver","LIHC","MSS/MSI-L","D/F12","Adherent"
"MDA-MB-231",905960,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"SHP-77",724872,"Y","Y","Y","N","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Semi-Adherent"
"SK-ES-1",684072,"Y","Y","Y","Y","Y","bone","ewings_sarcoma","","MSS/MSI-L","R","Semi-Adherent"
"KYM-1",1240166,"Y","Y","Y","Y","Y","soft_tissue","rhabdomyosarcoma","","MSS/MSI-L","D/F12","Adherent"
"KON",1298215,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"Hs766T",1298141,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","D/F12","Adherent"
"HCC-827",1240146,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"SW948",909757,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","D/F12","Adherent"
"HCE-4",753559,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","D/F12","Adherent"
"JVM-3",907270,"Y","Y","Y","Y","Y","lymphoma","lymphoid_neoplasm other","CLL","MSS/MSI-L","R","Suspension"
"JHH-4",1240158,"Y","N","Y","Y","Y","digestive_system","liver","LIHC","MSS/MSI-L","D/F12","Adherent"
"MDA-MB-361",908121,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"SH-4",909713,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"SUIT-2",1240219,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","R","Adherent"
"KNS-42",907282,"Y","Y","Y","Y","Y","nervous_system","glioma","LGG","MSS/MSI-L","D/F12","Adherent"
"HSC-4",907062,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"HN",907059,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"HT-1080",907064,"Y","Y","Y","Y","Y","soft_tissue","fibrosarcoma","","MSS/MSI-L","D/F12","Adherent"
"SW954",924247,"Y","Y","Y","Y","Y","urogenital_system","urogenital_system_other","","MSS/MSI-L","D/F12","Adherent"
"JURL-MK1",1327771,"Y","Y","Y","Y","Y","leukemia","chronic_myeloid_leukaemia","LCML","MSS/MSI-L","R","Suspension"
"JSC-1",1327769,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"IPC-298",907171,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"MDA-MB-453",908122,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"SK-MES-1",909728,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma","LUSC","MSS/MSI-L","D/F12","Adherent"
"SK-UT-1",909732,"Y","Y","Y","Y","Y","soft_tissue","soft_tissue_other","","MSI-H","D/F12","Adherent"
"KP-1N",1298216,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","R","Adherent"
"HT-1376",907066,"Y","Y","Y","Y","Y","urogenital_system","Bladder","BLCA","MSS/MSI-L","D/F12","Adherent"
"HA7-RCC",753558,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"HPAF-II",724869,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","D/F12","Adherent"
"SW962",909758,"Y","Y","Y","Y","Y","urogenital_system","urogenital_system_other","","MSS/MSI-L","D/F12","Adherent"
"JJN-3",1327766,"Y","Y","Y","Y","Y","myeloma","haematopoietic_neoplasm other","MM","MSS/MSI-L","D/F12","Suspension"
"IA-LM",910779,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_large cell","","MSS/MSI-L","D/F12","Adherent"
"SBC-5",713880,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Adherent"
"SR",905965,"Y","Y","Y","Y","Y","lymphoma","lymphoid_neoplasm other","","MSS/MSI-L","R","Suspension"
"SK-MG-1",909729,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","R","Adherent"
"SKG-IIIa",930298,"Y","Y","Y","Y","Y","urogenital_system","cervix","CESC","MSS/MSI-L","D/F12","Adherent"
"KNS-62",753569,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma","LUSC","MSS/MSI-L","D/F12","Adherent"
"H4",907042,"Y","Y","Y","Y","Y","nervous_system","glioma","LGG","MSS/MSI-L","D/F12","Adherent"
"HT55",907287,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","D/F12","Adherent"
"SK-MM-2",753612,"Y","Y","Y","Y","Y","myeloma","myeloma","MM","MSS/MSI-L","R","Suspension"
"JiyoyeP-2003",907268,"Y","Y","Y","Y","Y","lymphoma","Burkitt_lymphoma","","MSS/MSI-L","R","Suspension"
"JHH-6",1240159,"Y","Y","Y","Y","Y","digestive_system","liver","LIHC","MSS/MSI-L","D/F12","Adherent"
"IM-95",1240155,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSS/MSI-L","R","Adherent"
"SCC-15",910911,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"TOV-112D",1299070,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","D/F12","Adherent"
"SKN",1240215,"Y","Y","Y","Y","Y","urogenital_system","uterus","","MSS/MSI-L","D/F12","Adherent"
"SK-LU-1",909721,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"KARPAS-422",907274,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"HuP-T4",907286,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","D/F12","Adherent"
"HAL-01",949153,"Y","Y","Y","Y","Y","leukemia","lymphoblastic_leukemia","ALL","MSS/MSI-L","R","Suspension"
"HLE",907057,"Y","Y","Y","Y","Y","digestive_system","liver","LIHC","MSS/MSI-L","D/F12","Adherent"
"SK-PN-DW",909731,"Y","Y","Y","Y","Y","bone","ewings_sarcoma","","MSS/MSI-L","D/F12","Adherent"
"J82",753566,"Y","Y","Y","Y","Y","urogenital_system","Bladder","BLCA","MSS/MSI-L","D/F12","Adherent"
"JHH-7",1240160,"Y","Y","Y","Y","Y","digestive_system","liver","LIHC","MSS/MSI-L","D/F12","Adherent"
"IGR-37",1240153,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"SAT",1299050,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","R","Adherent"
"SW1573",724878,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"SKN-3",1299059,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","R","Adherent"
"SKM-1",909722,"Y","Y","Y","Y","Y","leukemia","haematopoietic_neoplasm other","","MSS/MSI-L","R","Suspension"
"SK-MEL-30",909726,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"HUTU-80",907073,"Y","Y","Y","Y","Y","digestive_system","digestive_system_other","","MSS/MSI-L","D/F12","Adherent"
"HOP-62",905972,"Y","Y","Y","N","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"IHH-4",1240154,"Y","Y","Y","Y","Y","thyroid","thyroid","THCA","MSS/MSI-L","D/F12","Semi-Adherent"
"IST-SL1",753564,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Semi-Adherent"
"JAR",907175,"Y","Y","Y","Y","Y","urogenital_system","urogenital_system_other","","MSS/MSI-L","R","Adherent"
"JHU-011",1240161,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","R","Adherent"
"IGROV-1",905968,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSI-H","R","Adherent"
"SBC-3",753610,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Adherent"
"SUP-B8",910209,"Y","Y","Y","Y","Y","leukemia","B_cell_leukemia","","MSS/MSI-L","R","Suspension"
"SK-MEL-3",909724,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"IM-9",753563,"Y","Y","Y","Y","Y","myeloma","myeloma","MM","MSS/MSI-L","R","Suspension"
"KYSE-50",1298222,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","D/F12","Adherent"
"HDQ-P1",1290922,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"IST-SL2",753565,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"IMR-5",907170,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","R","Adherent"
"JEKO-1",1327765,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"JHU-022",1240162,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","R","Adherent"
"EVSA-T",906862,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"EBC-1",753554,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma","LUSC","MSS/MSI-L","D/F12","Adherent"
"ASH-3",1290722,"Y","Y","Y","Y","Y","thyroid","thyroid","THCA","MSS/MSI-L","D/F12","Adherent"
"CaR-1",924108,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","D/F12","Adherent"
"CP66-MEL",753546,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"D-392MG",946370,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"EW-16",949165,"Y","Y","Y","Y","Y","bone","ewings_sarcoma","","MSS/MSI-L","R","Adherent"
"HL-60",905938,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","D/F12","Suspension"
"HCC1937",749714,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Adherent"
"HEL",907053,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","R","Semi-Adherent"
"HCC202",1290906,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Adherent"
"HCC1500",1303900,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Adherent"
"ES7",684059,"Y","Y","Y","Y","Y","bone","ewings_sarcoma","","MSS/MSI-L","R","Adherent"
"AMO-1",1295741,"Y","Y","Y","Y","Y","myeloma","haematopoietic_neoplasm other","MM","MSS/MSI-L","R","Suspension"
"A2780",906804,"Y","Y","Y","Y","Y","urogenital_system","ovary","UNABLE TO CLASSIFY","MSS/MSI-L","R","Semi-Adherent"
"DEL",906836,"Y","Y","Y","Y","Y","lymphoma","lymphoid_neoplasm other","","MSS/MSI-L","R","Suspension"
"ECC10",906848,"Y","Y","Y","Y","Y","digestive_system","stomach","","MSS/MSI-L","R","Suspension"
"EW-13",949166,"Y","Y","Y","Y","Y","bone","ewings_sarcoma","","MSS/MSI-L","R","Suspension"
"HSC-3",907061,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"HuO9",907072,"Y","Y","Y","Y","Y","bone","osteosarcoma","","MSS/MSI-L","R","Adherent"
"HPAC",1298136,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","D/F12","Adherent"
"Hs633T",1240149,"Y","N","Y","Y","Y","soft_tissue","fibrosarcoma","","MSS/MSI-L","D/F12","Adherent"
"HCC2998",905971,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","R","Adherent"
"EFO-21",911905,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","R","Adherent"
"451Lu",1287706,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"BB30-HNC",753531,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"CL-11",1290769,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","D/F12","Adherent"
"D-336MG",946369,"Y","Y","Y","Y","Y","nervous_system","glioma","LGG","MSS/MSI-L","D/F12","Adherent"
"ECC12",906849,"Y","Y","Y","Y","Y","digestive_system","stomach","","MSS/MSI-L","R","Suspension"
"EKVX",905970,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"HuP-T3",907285,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","R","Adherent"
"HEC-1",907051,"Y","Y","Y","Y","Y","urogenital_system","endometrium","UCEC","MSI-H","D/F12","Adherent"
"HGC-27",907055,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSS/MSI-L","D/F12","Adherent"
"H9",907043,"Y","Y","Y","Y","Y","lymphoma","lymphoid_neoplasm other","","MSS/MSI-L","R","Suspension"
"HCC-56",1290907,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","R","Adherent"
"EW-18",949164,"Y","Y","Y","Y","Y","bone","ewings_sarcoma","","MSS/MSI-L","R","Suspension"
"A427",910851,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_not specified","UNABLE TO CLASSIFY","MSS/MSI-L","D/F12","Adherent"
"BB49-HNC",753532,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"CCK-81",1240123,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSI-H","R","Adherent"
"D-247MG",946367,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"ES5",684057,"Y","Y","Y","Y","Y","bone","ewings_sarcoma","","MSS/MSI-L","R","Adherent"
"EoL-1-cell",906856,"Y","Y","Y","Y","Y","leukemia","haematopoietic_neoplasm other","","MSS/MSI-L","R","Suspension"
"HO-1-N-1",924111,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"HCC-44",1240145,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"HTC-C3",924151,"Y","Y","Y","Y","Y","thyroid","thyroid","THCA","MSS/MSI-L","D/F12","Adherent"
"HCC-78",1290908,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"HCC-15",1240143,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma","LUSC","MSS/MSI-L","D/F12","Adherent"
"EB-3",906847,"Y","Y","Y","Y","Y","lymphoma","Burkitt_lymphoma","","MSS/MSI-L","R","Suspension"
"A498",905948,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"BB65-RCC",753533,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"CCRF-CEM",905952,"Y","Y","Y","Y","Y","leukemia","lymphoblastic_leukemia","ALL","MSS/MSI-L","R","Suspension"
"D-542MG",753549,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"EW-3",949161,"Y","Y","Y","Y","Y","bone","ewings_sarcoma","","MSS/MSI-L","R","Adherent"
"EMC-BAC-2",1503370,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"HuCCT1",907069,"Y","Y","Y","Y","Y","digestive_system","biliary_tract","","MSS/MSI-L","R","Adherent"
"HCC1187",749711,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Suspension"
"HCC2157",749715,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Suspension"
"Hs746T",1240151,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSS/MSI-L","D/F12","Adherent"
"HCC1954",749709,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Adherent"
"EPLC-272H",753556,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma","LUSC","MSS/MSI-L","R","Adherent"
"A253",906794,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","","MSS/MSI-L","D/F12","Adherent"
"COLO-684",910691,"Y","Y","Y","Y","Y","urogenital_system","endometrium","UCEC","MSI-H","R","Suspension"
"DMS-79",753551,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","","R","Suspension"
"EW-7",949160,"Y","Y","Y","Y","Y","bone","ewings_sarcoma","","MSS/MSI-L","R","Semi-Adherent"
"EHEB",906854,"Y","Y","Y","Y","Y","lymphoma","lymphoid_neoplasm other","CLL","MSS/MSI-L","R","Suspension"
"HCT-15",905937,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSI-H","R","Adherent"
"H3255",1247873,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"HCC2218",749716,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Suspension"
"HH",907056,"Y","Y","Y","Y","Y","leukemia","T_cell_leukemia","","MSS/MSI-L","R","Suspension"
"HT-144",907067,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"EC-GI-10",753555,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","D/F12","Adherent"
"ABC-1",906791,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"CAL-27",910916,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"CGTH-W-1",910568,"Y","Y","Y","Y","Y","thyroid","thyroid","THCA","MSS/MSI-L","R","Adherent"
"DND-41",1297446,"Y","Y","Y","Y","Y","leukemia","T_cell_leukemia","ALL","MSI-H","R","Suspension"
"EW-24",949168,"Y","Y","Y","Y","Y","bone","ewings_sarcoma","","MSS/MSI-L","R","Semi-Adherent"
"EMC-BAC-1",1503369,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"HCC70",907048,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Adherent"
"H3118",1240140,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","","MSS/MSI-L","R","Adherent"
"HCC1569",907046,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSI-H","R","Adherent"
"HARA",1240142,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma","LUSC","MSS/MSI-L","R","Adherent"
"HT-115",907289,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","D/F12","Adherent"
"EB2",906846,"Y","Y","Y","Y","Y","lymphoma","Burkitt_lymphoma","","MSS/MSI-L","R","Suspension"
"ALL-PO",910944,"Y","Y","Y","Y","Y","leukemia","lymphoblastic_leukemia","ALL","MSS/MSI-L","R","Suspension"
"BICR22",1240121,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"CTB-1",949088,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"DOHH-2",906842,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"ESO26",1503366,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Adherent"
"HCC1806",907047,"Y","Y","Y","Y","Y","breast","breast","","MSS/MSI-L","R","Adherent"
"Hs683",1240150,"Y","Y","Y","Y","Y","nervous_system","glioma","LGG","MSS/MSI-L","D/F12","Adherent"
"HCC1428",1290905,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Adherent"
"HuH-7",907071,"Y","Y","Y","Y","Y","digestive_system","liver","LIHC","MSS/MSI-L","D/F12","Adherent"
"HT-3",907068,"Y","Y","Y","Y","Y","urogenital_system","cervix","CESC","MSS/MSI-L","R","Adherent"
"NCI-H1869",1240183,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma","LUSC","MSS/MSI-L","D/F12","Adherent"
"NCI-H2347",687820,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"NCI-H2170",687815,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma","LUSC","MSS/MSI-L","R","Adherent"
"NCI-H510A",753605,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Semi-Adherent"
"NCI-H810",925341,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_large cell","","MSS/MSI-L","D/F12","Adherent"
"NCI-SNU-1",908444,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSI-H","R","Suspension"
"NUGC-3",908455,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSI-H","R","Adherent"
"NB7",949174,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","D/F12","Adherent"
"NMC-G1",908449,"Y","Y","Y","Y","Y","nervous_system","glioma","LGG","MSS/MSI-L","D/F12","Adherent"
"OCI-M1",1330985,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","D/F12","Suspension"
"NCI-H1666",908473,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Semi-Adherent"
"SW1710",909749,"Y","Y","Y","Y","Y","urogenital_system","Bladder","BLCA","MSS/MSI-L","D/F12","Adherent"
"NCI-H1650",687800,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
